protein_conc mg/mL,well_content,hom_num,tech_rep,well,plate,assay_date,treatment
0.2905277354,Hom 1 1:4 R1,1,R1,A1,2,7/4/24,0
0.238539094,Hom 1 1:4 R2,1,R2,B1,2,7/4/24,0
0.2388732241,Hom 1 1:4 R3,1,R3,C1,2,7/4/24,0
0.3881565978,Hom 2 1:4 R1,2,R1,A2,2,7/4/24,0
0.3379438872,Hom 2 1:4 R2,2,R2,B2,2,7/4/24,0
0.3473041318,Hom 2 1:4 R3,2,R3,C2,2,7/4/24,0
0.3601729353,Hom 3 1:4 R1,3,R1,A3,2,7/4/24,0
0.3674978793,Hom 3 1:4 R2,3,R2,B3,2,7/4/24,0
0.3441811555,Hom 3 1:4 R3,3,R3,C3,2,7/4/24,0
0.6260495823,Hom 7 1:4 R1,7,R1,A4,2,7/4/24,1
0.484069637,Hom 7 1:4 R2,7,R2,B4,2,7/4/24,1
0.5157752455,Hom 7 1:4 R3,7,R3,C4,2,7/4/24,1
0.5069107214,Hom 8 1:4 R1,8,R1,A1,1,7/4/24,1
0.4781823706,Hom 8 1:4 R2,8,R2,A2,1,7/4/24,1
0.4646057447,Hom 8 1:4 R3,8,R3,B1,1,7/4/24,1
0.3814912432,Hom 9 1:4 R1,9,R1,A5,2,7/4/24,1
0.3227469289,Hom 9 1:4 R2,9,R2,B5,2,7/4/24,1
0.3306818998,Hom 9 1:4 R3,9,R3,C5,2,7/4/24,1
0.4574487334,Hom 13 1:4 R1,13,R1,C1,1,7/4/24,100
0.4165073213,Hom 13 1:4 R2,13,R2,B2,1,7/4/24,100
0.422879162,Hom 13 1:4 R3,13,R3,C2,1,7/4/24,100
0.2482480341,Hom 14 1:4 R1,14,R1,A6,2,7/4/24,100
0.2268749992,Hom 14 1:4 R2,14,R2,B6,2,7/4/24,100
0.2325329662,Hom 14 1:4 R3,14,R3,C6,2,7/4/24,100
0.3048807845,Hom 15 1:4 R1,15,R1,A7,2,7/4/24,100
0.2650782571,Hom 15 1:4 R2,15,R2,B7,2,7/4/24,100
0.2536214169,Hom 15 1:4 R3,15,R3,C7,2,7/4/24,100
0.2281610811,Hom 21 1:4 R1,21,R1,A3,1,7/4/24,0
0.2115007524,Hom 21 1:4 R2,21,R2,B3,1,7/4/24,0
0.2216338699,Hom 21 1:4 R3,21,R3,C3,1,7/4/24,0
0.5150524034,Hom 22 1:4 R1,22,R1,A8,2,7/4/24,0
0.4379758304,Hom 22 1:4 R2,22,R2,B8,2,7/4/24,0
0.5706403547,Hom 22 1:4 R3,22,R3,C8,2,7/4/24,0
0.4082690831,Hom 23 1:4 R1,23,R1,A4,1,7/4/24,0
0.3623767308,Hom 23 1:4 R2,23,R2,B4,1,7/4/24,0
0.3716807221,Hom 23 1:4 R3,23,R3,C4,1,7/4/24,0
0.3739155298,Hom 27 1:4 R1,27,R1,D5,1,7/4/24,1
0.3936866671,Hom 27 1:4 R2,27,R2,E5,1,7/4/24,1
0.4030311405,Hom 27 1:4 R3,27,R3,F5,1,7/4/24,1
0.417762514,Hom 28 1:4 R1,28,R1,A9,2,7/4/24,1
0.372039862,Hom 28 1:4 R2,28,R2,B9,2,7/4/24,1
0.3685455236,Hom 28 1:4 R3,28,R3,C9,2,7/4/24,1
0.5235827812,Hom 29 1:4 R1,29,R1,G2,1,7/4/24,1
0.5592938121,Hom 29 1:4 R2,29,R2,G3,1,7/4/24,1
0.6805812339,Hom 29 1:4 R3,29,R3,H3,1,7/4/24,1
0.3880856029,Hom 33 1:4 R1,33,R1,A5,1,7/4/24,100
0.3545711379,Hom 33 1:4 R2,33,R2,B5,1,7/4/24,100
0.3948073888,Hom 33 1:4 R3,33,R3,C5,1,7/4/24,100
0.4998967986,Hom 34 1:4 R1,34,R1,D1,2,7/4/24,100
0.501338194,Hom 34 1:4 R2,34,R2,E1,2,7/4/24,100
0.4894594175,Hom 34 1:4 R3,34,R3,F1,2,7/4/24,100
0.3441778632,Hom 35 1:4 R1,35,R1,A6,1,7/4/24,100
0.3304694442,Hom 35 1:4 R2,35,R2,B6,1,7/4/24,100
0.3471456949,Hom 35 1:4 R3,35,R3,C6,1,7/4/24,100
0.49669445,Hom 37 1:4 R1,37,R1,G4,1,7/4/24,0
0.5307908407,Hom 37 1:4 R2,37,R2,H4,1,7/4/24,0
0.5456025285,Hom 37 1:4 R3,37,R3,H5,1,7/4/24,0
0.2647405583,Hom 38 1:4 R1,38,R1,D2,2,7/4/24,0
0.3358673938,Hom 38 1:4 R2,38,R2,E2,2,7/4/24,0
0.2847384734,Hom 38 1:4 R3,38,R3,F2,2,7/4/24,0
0.4195051958,Hom 39 1:4 R1,39,R1,G8,1,7/4/24,10
0.4198800101,Hom 39 1:4 R2,39,R2,G9,1,7/4/24,10
0.4796921573,Hom 39 1:4 R3,39,R3,H9,1,7/4/24,10
0.404694497,Hom 42 1:4 R1,42,R1,D3,2,7/4/24,1
0.3790385666,Hom 42 1:4 R2,42,R2,E3,2,7/4/24,1
0.3916693869,Hom 42 1:4 R3,42,R3,F3,2,7/4/24,1
0.51751691,Hom 43 1:4 R1,43,R1,A7,1,7/4/24,1
0.4642289134,Hom 43 1:4 R2,43,R2,B7,1,7/4/24,1
0.5148642733,Hom 43 1:4 R3,43,R3,C7,1,7/4/24,1
0.7167782455,Hom 44 1:4 R1,44,R1,G7,1,7/4/24,10
0.7960498871,Hom 44 1:4 R2,44,R2,H7,1,7/4/24,10
0.8115678084,Hom 44 1:4 R3,44,R3,H8,1,7/4/24,10
0.3918191734,Hom 46 1:4 R1,46,R1,A8,1,7/4/24,100
0.3675854266,Hom 46 1:4 R2,46,R2,B8,1,7/4/24,100
0.3698189261,Hom 46 1:4 R3,46,R3,C8,1,7/4/24,100
0.9335193037,Hom 51 1:4 R1,51,R1,A9,1,7/4/24,0
0.9472108777,Hom 51 1:4 R2,51,R2,B9,1,7/4/24,0
1.017001993,Hom 51 1:4 R3,51,R3,C9,1,7/4/24,0
0.5661461486,Hom 55 1:4 R1,55,R1,G1,1,7/4/24,1
0.6318393557,Hom 55 1:4 R2,55,R2,H1,1,7/4/24,1
0.6295413964,Hom 55 1:4 R3,55,R3,H2,1,7/4/24,1
0.6778897243,Hom 56 1:4 R1,56,R1,D6,1,7/4/24,1
0.8999226133,Hom 56 1:4 R2,56,R2,E6,1,7/4/24,1
0.9210105964,Hom 56 1:4 R3,56,R3,F6,1,7/4/24,1
0.6149980366,Hom 59 1:4 R1,59,R1,D1,1,7/4/24,100
0.6875048449,Hom 59 1:4 R2,59,R2,E1,1,7/4/24,100
0.7206347873,Hom 59 1:4 R3,59,R3,F1,1,7/4/24,100
0.3064606295,Hom 60 1:4 R1,60,R1,D2,1,7/4/24,0
0.3430652753,Hom 60 1:4 R2,60,R2,E2,1,7/4/24,0
0.3375052149,Hom 60 1:4 R3,60,R3,F2,1,7/4/24,0
0.4281303873,Hom 61 1:4 R1,61,R1,D3,1,7/4/24,0
0.4529315659,Hom 61 1:4 R2,61,R2,E3,1,7/4/24,0
0.4435284898,Hom 61 1:4 R3,61,R3,F3,1,7/4/24,0
0.3120834489,Hom 64 1:4 R1,64,R1,D4,2,7/4/24,1
0.3275745718,Hom 64 1:4 R2,64,R2,E4,2,7/4/24,1
0.3045382298,Hom 64 1:4 R3,64,R3,F4,2,7/4/24,1
0.5425921032,Hom 65 1:4 R1,65,R1,D5,2,7/4/24,1
0.5571446329,Hom 65 1:4 R2,65,R2,E5,2,7/4/24,1
0.5586020375,Hom 65 1:4 R3,65,R3,F5,2,7/4/24,1
0.4397535417,Hom 68 1:4 R1,68,R1,D6,2,7/4/24,100
0.4589990684,Hom 68 1:4 R2,68,R2,E6,2,7/4/24,100
0.4572135593,Hom 68 1:4 R3,68,R3,F6,2,7/4/24,100
0.8436818229,Hom 69 1:4 R1,69,R1,D7,2,7/4/24,100
0.9373041493,Hom 69 1:4 R2,69,R2,E7,2,7/4/24,100
0.9031786727,Hom 69 1:4 R3,69,R3,F7,2,7/4/24,100
0.3642365268,Hom 70 1:4 R1,70,R1,D4,1,7/4/24,100
0.3787600374,Hom 70 1:4 R2,70,R2,E4,1,7/4/24,100
0.3918191734,Hom 70 1:4 R3,70,R3,F4,1,7/4/24,100
0.3790385666,Hom 76 1:4 R1,76,R1,D8,2,7/4/24,0
0.3856995716,Hom 76 1:4 R2,76,R2,E8,2,7/4/24,0
0.3601729353,Hom 76 1:4 R3,76,R3,F8,2,7/4/24,0
0.9338474145,Hom 78 1:4 R1,78,R1,D9,2,7/4/24,0
0.9576867376,Hom 78 1:4 R2,78,R2,E9,2,7/4/24,0
0.9177332979,Hom 78 1:4 R3,78,R3,F9,2,7/4/24,0
0.7002077109,Hom 81 1:4 R1,81,R1,G5,1,7/4/24,100
0.7291230233,Hom 81 1:4 R2,81,R2,G6,1,7/4/24,100
0.797600963,Hom 81 1:4 R3,81,R3,H6,1,7/4/24,100
1.244231001,Hom 85 1:4 R1,85,R1,G1,2,7/4/24,0
1.029952027,Hom 85 1:4 R2,85,R2,H1,2,7/4/24,0
1.029564169,Hom 85 1:4 R3,85,R3,H2,2,7/4/24,0
0.5658948638,Hom 89 1:4 R1,89,R1,G2,2,7/4/24,100
0.5542309907,Hom 89 1:4 R2,89,R2,G3,2,7/4/24,100
0.5204762331,Hom 89 1:4 R3,89,R3,H3,2,7/4/24,100
0.3079655393,Hom 91 1:4 R1,91,R1,G4,2,7/4/24,100
0.300430649,Hom 91 1:4 R2,91,R2,H4,2,7/4/24,100
0.3028260466,Hom 91 1:4 R3,91,R3,H5,2,7/4/24,100
1.179164444,Hom 93 1:4 R1,93,R1,G5,2,7/4/24,100
1.116417375,Hom 93 1:4 R2,93,R2,G6,2,7/4/24,100
1.024523375,Hom 93 1:4 R3,93,R3,H6,2,7/4/24,100
0.8379830013,Hom 95 1:4 R1,95,R1,G7,2,7/4/24,0
0.757496645,Hom 95 1:4 R2,95,R2,H7,2,7/4/24,0
0.8928517253,Hom 95 1:4 R3,95,R3,H8,2,7/4/24,0
0.5535028239,Hom 96 1:4 R1,96,R1,G8,2,7/4/24,100
0.6043374632,Hom 96 1:4 R2,96,R2,G9,2,7/4/24,100
0.6667340592,Hom 96 1:4 R3,96,R3,H9,2,7/4/24,100
0.7735774266,Hom 97 1:4 R1,97,R1,D7,1,7/4/24,0
0.8925089607,Hom 97 1:4 R2,97,R2,E7,1,7/4/24,0
0.8574364039,Hom 97 1:4 R3,97,R3,F7,1,7/4/24,0
0.3631205886,Hom 98 1:4 R1,98,R1,D8,1,7/4/24,1
0.3865927065,Hom 98 1:4 R2,98,R2,E8,1,7/4/24,1
0.3858463729,Hom 98 1:4 R3,98,R3,F8,1,7/4/24,1
0.611173847,Hom 101 1:4 R1,101,R1,D9,1,7/4/24,1
0.7075270411,Hom 101 1:4 R2,101,R2,E9,1,7/4/24,1
0.7295089771,Hom 101 1:4 R3,101,R3,F9,1,7/4/24,1