date,experiment,plate_Number,well_Placements,treatment_mg_per_L,replicate,animal_ID,stage_2,stage_at_dissection,initials,hps,no_attached_tissue,no_mono_out,image,percent_media_replaced,tissue_total,prim_bud_no,zooid_no,float_prim,float_zooid,comments
09/30/2023,0,1,A1,5,R3,S160C001,late,C2,CV,0,8,0,n,0,9,2,7,0,1,
09/30/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,0,10,0,n,0,10,0,10,0,0,
09/30/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,0,5,0,n,0,7,1,6,1,1,
09/30/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,0,4,0,n,0,5,2,3,0,1,
09/30/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,0,7,0,n,0,7,7,0,0,0,
09/30/2023,0,1,B2,45,R3,S178C001,early,A2,CV,0,5,0,n,0,5,5,0,0,0,
09/30/2023,0,1,B3,45,R1,S158C001,late,TO,CV,0,5,0,n,0,6,6,0,1,0,
09/30/2023,0,1,B4,5,R1,S147C001,late,TO,CV,0,6,0,n,0,8,8,0,2,0,
09/30/2023,0,1,C1,0,R2,S149C001,late,TO,CV,0,7,0,n,0,7,7,0,0,0,
09/30/2023,0,1,C2,0,R4,S148C001,late,TO,CV,0,2,0,n,0,2,1,0,1,0,
09/30/2023,0,1,C3,45,R2,S162C001,late,C2,CV,0,7,0,n,0,8,2,6,1,0,
09/30/2023,0,1,C4,0,R1,S177C001,late,C2,CV,0,3,0,n,0,6,6,0,2,0,
10/01/2023,0,1,A1,5,R3,S160C001,late,C2,CV,18,8,1,y,0,9,2,7,0,1,
10/01/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,18,10,0,y,0,10,0,10,0,0,
10/01/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,18,5,0,y,0,7,1,6,1,1,
10/01/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,18,4,0,y,0,5,2,3,0,1,
10/01/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,18,7,0,y,0,7,7,0,0,0,
10/01/2023,0,1,B2,45,R3,S178C001,early,A2,CV,18,5,0,y,0,5,5,0,0,0,
10/01/2023,0,1,B3,45,R1,S158C001,late,TO,CV,18,5,1,y,0,6,6,0,1,0,
10/01/2023,0,1,B4,5,R1,S147C001,late,TO,CV,18,6,1,y,0,8,8,0,2,0,
10/01/2023,0,1,C1,0,R2,S149C001,late,TO,CV,18,7,1,y,0,7,7,0,0,0,
10/01/2023,0,1,C2,0,R4,S148C001,late,TO,CV,18,2,1,y,0,2,1,0,1,0,
10/01/2023,0,1,C3,45,R2,S162C001,late,C2,CV,18,7,1,y,0,8,2,6,1,0,
10/01/2023,0,1,C4,0,R1,S177C001,late,C2,CV,18,3,0,y,0,6,6,0,2,0,
10/02/2023,0,1,A1,5,R3,S160C001,late,C2,CV,38,8,1,y,0,9,2,7,1,1,
10/02/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,38,10,0,y,0,10,0,10,0,0,
10/02/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,38,5,0,n,0,7,1,6,1,1,
10/02/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,38,4,0,n,0,5,2,3,0,1,
10/02/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,38,7,0,n,0,7,7,0,0,0,
10/02/2023,0,1,B2,45,R3,S178C001,early,A2,CV,38,5,0,n,0,5,5,0,0,0,
10/02/2023,0,1,B3,45,R1,S158C001,late,TO,CV,38,5,1,n,0,5,2,3,0,1,
10/02/2023,0,1,B4,5,R1,S147C001,late,TO,CV,38,5,1,n,0,5,NA,NA,NA,NA,
10/02/2023,0,1,C1,0,R2,S149C001,late,TO,CV,38,7,1,n,0,7,7,0,0,0,
10/02/2023,0,1,C2,0,R4,S148C001,late,TO,CV,38,1,1,y,0,2,1,0,1,0,
10/02/2023,0,1,C3,45,R2,S162C001,late,C2,CV,38,7,1,n,0,8,2,6,1,0,
10/02/2023,0,1,C4,0,R1,S177C001,late,C2,CV,38,3,0,n,0,6,6,0,3,0,
10/03/2023,0,1,A1,5,R3,S160C001,late,C2,CV,70,8,1,n,100,9,2,7,0,1,
10/03/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,70,10,0,y,100,10,0,0,0,0,
10/03/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,70,5,0,y,100,7,1,6,1,1,
10/03/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,70,4,0,y,100,5,2,3,0,1,
10/03/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,70,7,0,y,100,7,7,0,0,0,
10/03/2023,0,1,B2,45,R3,S178C001,early,A2,CV,70,5,0,y,100,5,5,0,0,0,
10/03/2023,0,1,B3,45,R1,S158C001,late,TO,CV,70,5,1,y,100,6,6,0,1,0,
10/03/2023,0,1,B4,5,R1,S147C001,late,TO,CV,70,5,1,y,100,8,8,0,3,0,
10/03/2023,0,1,C1,0,R2,S149C001,late,TO,CV,70,6,1,y,100,7,7,0,1,0,
10/03/2023,0,1,C2,0,R4,S148C001,late,TO,CV,70,1,1,y,100,2,1,0,1,0,
10/03/2023,0,1,C3,45,R2,S162C001,late,C2,CV,70,7,1,y,100,8,2,6,1,0,
10/03/2023,0,1,C4,0,R1,S177C001,late,C2,CV,70,3,0,y,100,6,6,0,3,0,
10/10/2023,0,1,A1,5,R3,S160C001,late,C2,CV,240,8,1,n,100,9,2,7,0,1,
10/10/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,240,7,1,y,100,7,0,7,0,0,
10/10/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,240,4,1,y,100,5,0,5,0,1,
10/10/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,240,4,1,y,100,4,2,2,0,0,
10/10/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,240,7,0,n,100,7,7,0,0,0,
10/10/2023,0,1,B2,45,R3,S178C001,early,A2,CV,240,4,1,n,100,4,4,0,0,0,
10/10/2023,0,1,B3,45,R1,S158C001,late,TO,CV,240,5,1,n,100,5,5,0,0,0,
10/10/2023,0,1,B4,5,R1,S147C001,late,TO,CV,240,3,0,n,100,6,6,0,3,0,
10/10/2023,0,1,C1,0,R2,S149C001,late,TO,CV,240,6,2,n,100,6,6,0,0,0,
10/10/2023,0,1,C2,0,R4,S148C001,late,TO,CV,240,0,1,n,100,2,2,0,2,0,
10/10/2023,0,1,C3,45,R2,S162C001,late,C2,CV,240,7,0,n,100,7,1,6,0,0,
10/10/2023,0,1,C4,0,R1,S177C001,late,C2,CV,240,1,1,n,100,4,4,0,3,0,
10/26/2023,0,1,A1,5,R3,S160C001,late,C2,CV,600,7,1,y,100,7,0,7,0,0,near 9
10/26/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,600,8,1,y,100,7,0,7,0,0,near 1
10/26/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,600,5,1,y,100,5,0,5,0,1,
10/26/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,600,2,1,y,0,3,1,2,0,0,contaminated
10/26/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,600,6,0,n,100,6,6,0,0,0,
10/26/2023,0,1,B2,45,R3,S178C001,early,A2,CV,600,4,0,n,100,4,4,0,0,0,
10/26/2023,0,1,B3,45,R1,S158C001,late,TO,CV,600,4,1,n,100,4,4,0,0,0,
10/26/2023,0,1,B4,5,R1,S147C001,late,TO,CV,600,3,1,y,100,3,3,0,0,0,near 5
10/26/2023,0,1,C1,0,R2,S149C001,late,TO,CV,600,6,2,n,0,6,6,0,0,0,contaminated
10/26/2023,0,1,C2,0,R4,S148C001,late,TO,CV,600,0,1,n,0,0,0,0,0,0,
10/26/2023,0,1,C3,45,R2,S162C001,late,C2,CV,600,7,0,n,100,7,1,6,0,0,
10/26/2023,0,1,C4,0,R1,S177C001,late,C2,CV,600,1,0,n,100,1,1,0,0,0,
10/25/2023,1,1,A1,5,R1,S200C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,A2,45,R1,S218C001,,,CV,0,0,0,,,,,,,,
10/25/2023,1,1,A3,0,R1,S209C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,A4,0,R4,S212C001,,,CV,0,5,0,,,,,,,,
10/25/2023,1,1,B1,45,R4,S207C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,B2,5,R3,S199C001,,,CV,0,2,0,,,,,,,,
10/25/2023,1,1,B3,45,R2,S215C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,B4,5,R4,S246C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,C1,5,R2,S248C001,,,CV,0,5,0,,,,,,,,
10/25/2023,1,1,C2,45,R3,S224C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,C3,0,R3,S228C001,,,CV,0,2,0,,,,,,,,
10/25/2023,1,1,C4,0,R2,S247C001,,,CV,0,5,0,,,,,,,,
10/26/2023,1,1,A1,5,R1,S200C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,A2,45,R1,S218C001,,,CV,24,0,0,,,,,,,,
10/26/2023,1,1,A3,0,R1,S209C001,,,CV,24,6,0,,,,,,,,
10/26/2023,1,1,A4,0,R4,S212C001,,,CV,24,6,0,,,,,,,,
10/26/2023,1,1,B1,45,R4,S207C001,,,CV,24,0,0,,,,,,,,
10/26/2023,1,1,B2,5,R3,S199C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,B3,45,R2,S215C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,B4,5,R4,S246C001,,,CV,24,5,0,,,,,,,,
10/26/2023,1,1,C1,5,R2,S248C001,,,CV,24,6,1,,,,,,,,
10/26/2023,1,1,C2,45,R3,S224C001,,,CV,24,2,0,,,,,,,,
10/26/2023,1,1,C3,0,R3,S228C001,,,CV,24,5,0,,,,,,,,
10/26/2023,1,1,C4,0,R2,S247C001,,,CV,24,3,0,,,,,,,,
10/27/2023,1,1,A1,5,R1,S200C001,,,CV,48,0,0,,,,,,,,
10/27/2023,1,1,A2,45,R1,S218C001,,,CV,48,4,0,,,,,,,,
10/27/2023,1,1,A3,0,R1,S209C001,,,CV,48,5,0,,,,,,,,
10/27/2023,1,1,A4,0,R4,S212C001,,,CV,48,6,0,,,,,,,,
10/27/2023,1,1,B1,45,R4,S207C001,,,CV,48,0,0,,,,,,,,
10/27/2023,1,1,B2,5,R3,S199C001,,,CV,48,4,0,,,,,,,,
10/27/2023,1,1,B3,45,R2,S215C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,B4,5,R4,S246C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,C1,5,R2,S248C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,C2,45,R3,S224C001,,,CV,48,5,,,,,,,,,
10/27/2023,1,1,C3,0,R3,S228C001,,,CV,48,2,,,,,,,,,
10/27/2023,1,1,C4,0,R2,S247C001,,,CV,48,4,,,,,,,,,