experiment,date,initials,stage,stage_2,hpe,jar_id,animal_id,no_sys,no_prim_sys1,no_prim_sys2,health,image,attachment,comments
0,09/29/2023,CV,C1,mid,0,0-R1,S177C001,2,11,8,10,y,attached,ampullae slightly cut
0,09/29/2023,CV,C1,mid,0,0-R2,S149C001,2,14,12,10,y,attached,
0,09/29/2023,CV,B2,mid,0,0-R3,S154C001,2,22,6,7,y,attached,both systems not fully adhered
0,09/29/2023,CV,C2,late,0,0-R4,S148C001,2,12,8,7,y,attached,
0,09/29/2023,CV,B2,mid,0,05-R1,S147C001,2,15,12,10,y,attached,
0,09/29/2023,CV,C2,late,0,05-R2,S167C001,2,7,8,10,y,attached,
0,09/29/2023,CV,B1,mid,0,05-R3,S160C001,2,8,8,10,y,attached,
0,09/29/2023,CV,C1,mid,0,05-R4,S180C001,2,7,9,7,y,attached,
0,09/29/2023,CV,B1,mid,0,45-R1,S158C001,1,10,10,10,y,attached,
0,09/29/2023,CV,C2,late,0,45-R2,S162C001,2,13,6,9,y,attached,
0,09/29/2023,CV,A1,early,0,45-R3,S178C001,2,13,14,8,y,attached,
0,09/29/2023,CV,B1,mid,0,45-R4,S151C001,2,12,11,10,y,attached,
0,09/30/2023,CV,C2,late,24,0-R1,S177C001,1,11,8,10,y,attached,
0,09/30/2023,CV,TO,late,24,0-R2,S149C001,1,14,12,9,y,attached,
0,09/30/2023,CV,C1,mid,24,0-R3,S154C001,1,22,6,7,y,attached,
0,09/30/2023,CV,TO,late,24,0-R4,S148C001,1,12,8,7,y,attached,
0,09/30/2023,CV,TO,late,24,05-R1,S147C001,1,15,12,6,y,attached,
0,09/30/2023,CV,B2,mid,24,05-R2,S167C001,1,7,8,8,y,attached,
0,09/30/2023,CV,C2,late,24,05-R3,S160C001,1,8,8,7,y,attached,good blood flow
0,09/30/2023,CV,C1,mid,24,05-R4,S180C001,1,7,9,5,y,attached,
0,09/30/2023,CV,TO,late,24,45-R1,S158C001,1,10,10,5,y,attached,
0,09/30/2023,CV,C2,late,24,45-R2,S162C001,1,13,6,6,y,attached,tunic puffed
0,09/30/2023,CV,A2,early,24,45-R3,S178C001,1,13,14,7,y,attached,
0,09/30/2023,CV,B1,mid,24,45-R4,S151C001,1,12,11,7,y,attached,"tunic puffed, ampullae retracted, hyperpigmentation"
1,10/24/2023,CV,A2,early,0,0-R1,S209C001,2,5,7,9,y,attached,
1,10/24/2023,CV,C1,mid,0,0-R2,S228C001,2,8,6,9,y,attached,
1,10/24/2023,CV,C2,late,0,0-R3,S247C001,2,7,9,7,y,attached,
1,10/24/2023,CV,C1,mid,0,0-R4,S212C001,2,5,10,8,y,attached,
1,10/24/2023,CV,C1,mid,0,05-R1,S200C001,2,8,11,8,y,attached,
1,10/24/2023,CV,C2,late,0,05-R2,S248C001,2,4,9,8,y,attached,
1,10/24/2023,CV,TO,late,0,05-R3,S246C001,2,18,19,10,y,attached,
1,10/24/2023,CV,B1,mid,0,05-R4,S199C001,2,11,7,7,y,attached,
1,10/24/2023,CV,C1,mid,0,45-R1,S218C001,2,8,6,7,y,attached,
1,10/24/2023,CV,B2,mid,0,45-R2,S215C001,2,8,8,7,y,attached,
1,10/24/2023,CV,B2,mid,0,45-R3,S224C001,2,17,13,10,y,attached,
1,10/24/2023,CV,B2,mid,0,45-R4,S207C001,2,12,13,8,y,attached,
1,10/25/2023,CV,B1,mid,24,0-R1,S209C001,1,7,5,9,y,attached,
1,10/25/2023,CV,C2,late,24,0-R2,S228C001,1,6,8,9,y,attached,
1,10/25/2023,CV,C2,late,24,0-R3,S247C001,1,5,9,6,y,attached,
1,10/25/2023,CV,C2,late,24,0-R4,S212C001,1,10,5,8,y,attached,
1,10/25/2023,CV,C2,late,24,05-R1,S200C001,1,8,11,7,y,attached,
1,10/25/2023,CV,TO,late,24,05-R2,S248C001,1,4,9,7,y,attached,
1,10/25/2023,CV,B2,mid,24,05-R3,S246C001,1,18,19,9,y,attached,
1,10/25/2023,CV,A1,early,24,05-R4,S199C001,1,11,7,7,y,attached,hyper pigmentation
1,10/25/2023,CV,B1,mid,24,45-R1,S218C001,1,8,6,6,y,attached,
1,10/25/2023,CV,C2,late,24,45-R2,S215C001,1,8,8,7,y,attached,puffy tunic
1,10/25/2023,CV,C1,mid,24,45-R3,S224C001,1,17,13,7,y,attached,zooids smaller but priamry buds not fully advanced
1,10/25/2023,CV,C1,mid,24,45-R4,S207C001,1,12,13,3,y,attached,"siphons dialated, hyperpigmenation, puffy tunic, primary buds tin"
2,11/14/2023,CV,B1,mid,0,0-R1,S271C002,2,18,12,7,y,attached,
2,11/14/2023,CV,B1,mid,0,0-R2,S270C001,2,5,14,8,y,attached,
2,11/14/2023,CV,B1,mid,0,0-R3,S266C001,2,10,6,7,y,attached,
2,11/14/2023,CV,B2,mid,0,05-R1,S261C001,2,11,16,6,y,both tied,
2,11/14/2023,CV,C1,mid,0,05-R2,S256C001,2,9,8,6,y,both tied,
2,11/14/2023,CV,B2,mid,0,05-R3,S267C001,2,18,12,8,y,attached,
2,11/14/2023,CV,C2,late,0,45-R1,S251C001,2,13,8,10,y,attached,
2,11/14/2023,CV,C2,late,0,45-R2,S263C001,2,10,18,10,y,one tied,
2,11/14/2023,CV,TO,late,0,45-R3,S259C001,2,10,7,7,y,attached,
2,11/15/2023,CV,B2,mid,24,0-R1,S271C002,1,18,12,7,y,attached,
2,11/15/2023,CV,B2,mid,24,0-R2,S270C001,1,5,14,8,y,attached,
2,11/15/2023,CV,B2,mid,24,0-R3,S266C001,1,10,6,7,y,attached,
2,11/15/2023,CV,B2,mid,24,05-R1,S261C001,1,11,16,5,y,both tied,
2,11/15/2023,CV,C2,late,24,05-R2,S256C001,1,9,8,5,y,both tied,
2,11/15/2023,CV,C1,mid,24,05-R3,S267C001,2,18,12,6,y,attached,
2,11/15/2023,CV,TO,late,24,45-R1,S251C001,1,13,8,5,y,attached,
2,11/15/2023,CV,TO,late,24,45-R2,S263C001,1,10,18,5,y,one tied,
2,11/15/2023,CV,A1,early,24,45-R3,S259C001,1,10,7,10,y,attached,
3,11/28/2023,CV,TO,late,0,0-R1,S277C001,2,12,10,10,y,attached,
3,11/28/2023,CV,B2,mid,0,0-R2,S286C001,2,10,17,10,y,one tied,
3,11/28/2023,CV,B2,mid,0,0-R3,S283C001,2,17,23,8,y,tied,
3,11/28/2023,CV,A1,early,0,05-R1,S295C001,2,9,9,7,y,one tied,
3,11/28/2023,CV,C2,mid,0,05-R2,S290C001,2,5,7,8,y,tied,
3,11/28/2023,CV,C1,mid,0,05-R3,S275C001,2,11,14,7,y,one tied,
3,11/28/2023,CV,B2,mid,0,45-R1,S287C001,2,16,11,10,y,attached,
3,11/28/2023,CV,C1,mid,0,45-R2,S301C001,2,11,7,8,y,tied,
3,11/28/2023,CV,C1,mid,0,45-R3,S291C001,2,18,8,8,y,tied,
3,11/29/2023,CV,A1,early,24,0-R1,S277C001,2,12,10,10,y,attached,
3,11/29/2023,CV,C1,mid,24,0-R2,S286C001,2,10,17,10,y,one tied,
3,11/29/2023,CV,C1,mid,24,0-R3,S283C001,2,17,23,8,y,tied,"one with recessing zooids used for SOD  not RNA, also ampullae reconnected overnight"
3,11/29/2023,CV,A1,early,24,05-R1,S295C001,2,9,9,6,y,one tied,extremely pigminted ampullae retracted
3,11/29/2023,CV,A1,early,24,05-R2,S290C001,2,5,7,6,y,tied,ampullae retracted puffed up zooids
3,11/29/2023,CV,C2,late,24,05-R3,S275C001,2,11,14,5,y,one tied,
3,11/29/2023,CV,C1,mid,24,45-R1,S287C001,2,16,11,6,y,attached,ampullae retracted puffed up tunic
3,11/29/2023,CV,C2,late,24,45-R2,S301C001,2,11,7,6,y,tied,
3,11/30/2023,CV,TO,late,24,45-R3,S291C001,2,18,8,6,y,tied,amp retracted
,,,,,,,,,11.17857143,10.3452381,,,,
,,,,,,,,,10.76190476,,,,,
,,,,,,,,,4.112545572,,,,,
,,,,,,,,,10.76190476,,,,,