date,plate_Number,well_Placements,treatment_mg_per_L,replicate,animal_ID,initials,hps,no_attached_tissue,no_mono_out,image,percent_media_replaced,tissue_total,prim_bud_no,zooid_no,float_prim,float_zooid,comments
10/01/2023,1,A1,5,R3,S160C001,CV,24,8,1,y,0,9,2,7,0,1,
10/01/2023,1,A2,45,R4,S151C001,,23,10,0,y,0,10,0,10,0,0,
10/01/2023,1,A3,5,R2,S167C001,,18,5,0,y,0,7,1,6,1,1,
10/01/2023,1,A4,0,R3,S154C001,,18,4,0,y,0,5,2,3,0,1,
10/01/2023,1,B1,5,R4,S180C001,,18,7,0,y,0,7,7,0,0,0,
10/01/2023,1,B2,45,R3,S178C001,,18,5,0,y,0,5,5,0,0,0,
10/01/2023,1,B3,45,R1,S158C001,,18,5,1,y,0,6,6,0,1,0,
10/01/2023,1,B4,5,R1,S147C001,,18,6,1,y,0,8,8,0,2,0,
10/01/2023,1,C1,0,R2,S149C001,,18,7,1,y,0,7,7,0,0,0,
10/01/2023,1,C2,0,R4,S148C001,,18,1,0,y,0,2,1,0,1,0,
10/01/2023,1,C3,45,R2,S162C001,,18,7,1,y,0,8,2,6,1,0,
10/01/2023,1,C4,0,R1,S177C001,,18,3,0,y,0,6,6,0,2,0,
10/02/2023,1,A1,5,R3,S160C001,,44,8,1,y,0,9,2,7,1,,
10/02/2023,1,A2,45,R4,S151C001,,42,10,0,y,0,10,0,10,0,,
10/02/2023,1,A3,5,R2,S167C001,,38,5,0,n,0,7,1,6,,,
10/02/2023,1,A4,0,R3,S154C001,,38,4,0,n,0,5,2,3,,,
10/02/2023,1,B1,5,R4,S180C001,,38,7,0,n,0,7,7,0,,,
10/02/2023,1,B2,45,R3,S178C001,,38,5,0,n,0,5,5,0,,,
10/02/2023,1,B3,45,R1,S158C001,,38,5,1,n,0,5,2,3,,,
10/02/2023,1,B4,5,R1,S147C001,,38,5,1,n,0,5,,,,,
10/02/2023,1,C1,0,R2,S149C001,,38,,,,0,5,,,,,
10/02/2023,1,C2,0,R4,S148C001,,38,,,,0,,,,,,
10/02/2023,1,C3,45,R2,S162C001,,38,,,,0,,,,,,
10/02/2023,1,C4,0,R1,S177C001,,38,,,,0,,,,,,